imputer,mechanism,missing_rate,dataset,numerical_dac
Simple,Uni MCAR,10,mobile_price,1.0
Iterative,Uni MCAR,10,mobile_price,1.0
KNN,Uni MCAR,10,mobile_price,1.0
Simple,Multi MCAR,10,mobile_price,0.9936090225563909
Iterative,Multi MCAR,10,mobile_price,0.9607817430435102
KNN,Multi MCAR,10,mobile_price,0.9236060138390114
Simple,Uni MAR,10,mobile_price,1.0
Iterative,Uni MAR,10,mobile_price,1.0
KNN,Uni MAR,10,mobile_price,1.0
Simple,Multi MAR,10,mobile_price,0.9714285714285714
Iterative,Multi MAR,10,mobile_price,1.0
KNN,Multi MAR,10,mobile_price,0.9342857142857143
Simple,Uni MNAR,10,mobile_price,1.0
Iterative,Uni MNAR,10,mobile_price,1.0
KNN,Uni MNAR,10,mobile_price,1.0
Simple,Multi MNAR,10,mobile_price,0.9110446226135824
Iterative,Multi MNAR,10,mobile_price,0.9263642045129895
KNN,Multi MNAR,10,mobile_price,0.8706101377320744
Simple,Uni MCAR,10,milk_quality,1.0
Iterative,Uni MCAR,10,milk_quality,1.0
KNN,Uni MCAR,10,milk_quality,1.0
Simple,Multi MCAR,10,milk_quality,1.0
Iterative,Multi MCAR,10,milk_quality,1.0
KNN,Multi MCAR,10,milk_quality,1.0
Simple,Uni MAR,10,milk_quality,1.0
Iterative,Uni MAR,10,milk_quality,1.0
KNN,Uni MAR,10,milk_quality,1.0
Simple,Multi MAR,10,milk_quality,1.0
Iterative,Multi MAR,10,milk_quality,1.0
KNN,Multi MAR,10,milk_quality,1.0
Simple,Uni MNAR,10,milk_quality,1.0
Iterative,Uni MNAR,10,milk_quality,1.0
KNN,Uni MNAR,10,milk_quality,1.0
Simple,Multi MNAR,10,milk_quality,1.0
Iterative,Multi MNAR,10,milk_quality,1.0
KNN,Multi MNAR,10,milk_quality,1.0
