imputer,mechanism,missing_rate,dataset,numerical_pac,binary_pac
Simple,Uni MCAR,10,mobile_price,2193.84,
Iterative,Uni MCAR,10,mobile_price,2193.839942291989,
KNN,Uni MCAR,10,mobile_price,2193.8769642896123,
Simple,Multi MCAR,10,mobile_price,373.2887976457295,0.5557800315338004
Iterative,Multi MCAR,10,mobile_price,373.2955122792409,0.5766791482729338
KNN,Multi MCAR,10,mobile_price,373.331824535207,0.49530877705054976
Simple,Uni MAR,10,mobile_price,1994.46,
Iterative,Uni MAR,10,mobile_price,1994.4600960715266,
KNN,Uni MAR,10,mobile_price,1994.452534711351,
Simple,Multi MAR,10,mobile_price,647.4314285714287,0.5033333333333333
Iterative,Multi MAR,10,mobile_price,647.7428602032144,0.5099999999999999
KNN,Multi MAR,10,mobile_price,647.5271505462357,0.5216666666666667
Simple,Uni MNAR,10,mobile_price,439.58,
Iterative,Uni MNAR,10,mobile_price,439.5800093288113,
KNN,Uni MNAR,10,mobile_price,439.56332905296307,
Simple,Multi MNAR,10,mobile_price,129.11273765185547,0.0
Iterative,Multi MNAR,10,mobile_price,129.2602961985947,0.46240099707177107
KNN,Multi MNAR,10,mobile_price,129.2431625233996,0.36756267034669327
Simple,Uni MCAR,10,milk_quality,6.683962264150943,
Iterative,Uni MCAR,10,milk_quality,6.65049214667463,
KNN,Uni MCAR,10,milk_quality,6.7210331125121785,
Simple,Multi MCAR,10,milk_quality,100.84774087493288,0.5715295162238543
Iterative,Multi MCAR,10,milk_quality,100.8286198783731,0.6091535243190955
KNN,Multi MCAR,10,milk_quality,100.87898062071713,0.8856284612093124
Simple,Uni MAR,10,milk_quality,42.84905660377358,
Iterative,Uni MAR,10,milk_quality,43.82193109683301,
KNN,Uni MAR,10,milk_quality,43.08602075000589,
Simple,Multi MAR,10,milk_quality,42.84905660377358,0.45243213119974524
Iterative,Multi MAR,10,milk_quality,43.82778764828005,0.4925563251333493
KNN,Multi MAR,10,milk_quality,43.08602075000589,0.8292333412944829
Simple,Uni MNAR,10,milk_quality,35.028301886792455,
Iterative,Uni MNAR,10,milk_quality,34.834758336254666,
KNN,Uni MNAR,10,milk_quality,35.0968324638574,
Simple,Multi MNAR,10,milk_quality,93.92600050458424,0.25
Iterative,Multi MNAR,10,milk_quality,93.73611381532065,0.5570335048362157
KNN,Multi MNAR,10,milk_quality,93.90999809371004,0.8698043107320598
